"lon","lat"
23.284556,39.269972
23.350417,39.185806
23.300806,39.13875
23.209972,39.12625
23.225361,39.110806
23.202472,39.095389
23.175,39.102083
23.121639,39.082917
23.058361,39.090417
23.049556,39.100806
23.078306,39.147056
23.106639,39.16125
23.121194,39.135
23.094167,39.097111
23.154194,39.120389
23.147472,39.131194
23.175806,39.127917
23.181639,39.160361
23.213333,39.149528
23.219583,39.182472
23.187861,39.209167
23.162056,39.271667
23.119972,39.304528
23.017444,39.31625
22.992472,39.351194
22.935806,39.35875
22.925389,39.3175
22.945417,39.299139
22.820806,39.275417
22.821222,39.211611
22.850861,39.155417
22.878722,39.169944
22.869972,39.187083
22.89,39.190361
22.924139,39.112917
22.941222,39.114972
22.934944,39.132889
22.982861,39.099111
22.997028,39.036694
22.963306,39.032056
22.961667,39.007083
23.066639,39.039583
23.057056,39.015833
23.026278,39.013333
22.990806,38.942917
22.9375,38.944556
22.942111,38.927472
22.918306,38.917056
22.855806,38.924583
22.8275,38.88625
22.749944,38.867056
22.711667,38.885417
22.670028,38.879556
22.612528,38.910417
22.550806,38.883722
22.557861,38.869167
22.527028,38.8575
22.581667,38.86625
22.552917,38.836667
22.573333,38.839583
22.578306,38.822889
22.603306,38.842917
22.605806,38.820389
22.698333,38.851222
22.770778,38.777889
22.825,38.788722
22.864972,38.753778
22.897472,38.775389
22.965,38.745444
23.034194,38.757056
23.104972,38.627083
23.136611,38.64625
23.190833,38.65125
23.164556,38.677472
23.195778,38.682056
23.252528,38.645389
23.314167,38.642917
23.341194,38.605806
23.305833,38.589583
23.285389,38.556694
23.317528,38.570417
23.33,38.537083
23.379556,38.526667
23.333333,38.518722
23.331639,38.499583
23.405833,38.510389
23.517472,38.482056
23.536611,38.512889
23.552444,38.509556
23.592889,38.474111
23.571222,38.45
23.599556,38.4425
23.596667,38.417056
23.633722,38.41
23.63375,38.378306
23.657444,38.352861
23.700806,38.337056
23.77,38.339556
23.784944,38.32375
23.809972,38.328722
23.953306,38.287083
24.073278,38.200389
24.060444,38.179111
24.08125,38.162472
24.062111,38.157472
24.058333,38.121222
24.0525,38.142083
24.0375,38.142111
23.982889,38.103306
24.032083,37.994139
24.010389,37.981639
24.018694,37.9425
24.003778,37.925806
24.03075,37.924528
24.047028,37.902472
24.009556,37.888306
24.025806,37.870417
24.044583,37.874944
24.059528,37.833333
24.047917,37.820778
24.085389,37.797472
24.080389,37.745
24.053694,37.735
24.07375,37.683306
24.030833,37.647056
23.939194,37.669583
23.942861,37.722472
23.907917,37.719972
23.902028,37.772472
23.885806,37.772056
23.867444,37.800389
23.811667,37.820444
23.7975,37.79875
23.777472,37.812889
23.769972,37.795389
23.769556,37.813306
23.755389,37.8125
23.768722,37.835
23.740417,37.848333
23.749556,37.859139
23.6875,37.940417
23.630833,37.926222
23.638333,37.947917
23.619139,37.940389
23.610806,37.960389
23.553667,37.967472
23.569972,37.999556
23.597861,38.01
23.594139,38.03375
23.574972,38.04625
23.549944,38.03375
23.519972,38.043722
23.489167,38.024583
23.454111,38.023722
23.387917,37.981667
23.421639,37.969583
23.242472,37.975361
23.165806,37.947056
23.136611,37.919611
23.068333,37.91125
23.015778,37.922944
23.017056,37.898306
22.993722,37.877472
23.014917,37.84375
23.115028,37.84875
23.179528,37.805
23.180861,37.77625
23.152444,37.756222
23.127472,37.764583
23.119556,37.755
23.120806,37.730417
23.176194,37.713333
23.152056,37.674972
23.172083,37.648278
23.162472,37.615444
23.332472,37.532889
23.367917,37.553306
23.359556,37.575833
23.302889,37.6125
23.341639,37.637083
23.4025,37.63625
23.407861,37.590833
23.386611,37.560417
23.367917,37.558333
23.418722,37.530806
23.392028,37.509944
23.478333,37.487056
23.521222,37.453306
23.515806,37.430417
23.414111,37.40375
23.342472,37.413722
23.301611,37.404556
23.310861,37.392889
23.270806,37.40625
23.249611,37.388278
23.259111,37.382889
23.227056,37.374972
23.277917,37.3475
23.191639,37.338722
23.18125,37.321639
23.202083,37.293333
23.170806,37.284583
23.137861,37.3075
23.154917,37.325444
23.126667,37.314556
23.111222,37.333333
23.138722,37.3275
23.113333,37.349528
23.065389,37.3525
23.064139,37.393722
23.102528,37.391222
23.109944,37.423778
23.145389,37.415806
23.1225,37.45125
23.056667,37.451194
23.045,37.481222
23.005,37.459583
22.978361,37.514583
22.935,37.518722
22.928333,37.532917
22.900028,37.53625
22.929556,37.5225
22.894111,37.530389
22.852472,37.51125
22.815389,37.530833
22.822056,37.5425
22.79125,37.561639
22.802889,37.57
22.783333,37.587917
22.717889,37.560833
22.740444,37.515806
22.728778,37.486694
22.772889,37.424167
22.75375,37.394167
22.817889,37.337528
22.839611,37.279139
22.865389,37.267472
22.855417,37.254972
22.912028,37.191639
22.899611,37.118306
22.9225,37.108722
22.929111,37.121194
22.955806,37.119556
22.962889,37.089972
22.987944,37.085833
22.979944,37.067083
22.967083,37.071639
23.006278,37.024167
23.007028,36.985778
22.991194,36.974167
23.019556,36.946639
23.010389,36.939139
23.052028,36.862472
23.03875,36.858306
23.089528,36.819111
23.089528,36.785
23.075417,36.786639
23.112056,36.773278
23.083778,36.756611
23.086639,36.72875
23.056639,36.744556
23.02625,36.724972
23.032861,36.692472
23.058722,36.6925
23.029611,36.668333
23.033694,36.626639
23.075806,36.579556
23.15375,36.536611
23.13125,36.497472
23.195778,36.460417
23.198306,36.434556
23.144167,36.441278
23.125833,36.428722
23.084972,36.439556
23.062917,36.473333
23.067028,36.503306
23.035861,36.525417
22.967917,36.519944
22.935361,36.559167
22.940444,36.577528
22.868694,36.627472
22.884556,36.637472
22.876639,36.656194
22.834944,36.687083
22.822444,36.653722
22.806222,36.670806
22.818722,36.719139
22.781667,36.797889
22.635,36.805389
22.568278,36.777083
22.577083,36.734167
22.525417,36.71
22.522889,36.679972
22.546667,36.674583
22.552889,36.651667
22.50375,36.664194
22.522917,36.609167
22.476222,36.614167
22.472889,36.531667
22.502889,36.477472
22.502028,36.443333
22.482083,36.434194
22.498722,36.400833
22.482472,36.387861
22.456667,36.452917
22.399972,36.48125
22.3925,36.467083
22.369139,36.477083
22.345389,36.5175
22.364139,36.547889
22.389556,36.540806
22.385417,36.574167
22.371194,36.576667
22.385389,36.593333
22.36375,36.601639
22.375389,36.6175
22.362889,36.638306
22.382083,36.645806
22.36125,36.665
22.389583,36.691667
22.347056,36.699139
22.301194,36.769139
22.296222,36.812472
22.258278,36.83875
22.227528,36.892889
22.203333,36.904583
22.173306,36.88875
22.126222,36.914139
22.14625,36.937472
22.155361,37
22.125833,37.024583
22.028306,37.024556
21.932083,36.984139
21.923722,36.864972
21.940389,36.808333
21.968722,36.795806
21.877444,36.719583
21.822472,36.804583
21.767472,36.800361
21.758306,36.787889
21.703694,36.814139
21.680417,36.889167
21.709583,36.944111
21.668333,36.955389
21.680806,36.970389
21.657444,36.952889
21.644167,37.001222
21.572861,37.058306
21.565417,37.149139
21.587028,37.208333
21.669111,37.257861
21.694556,37.2975
21.691194,37.354194
21.654583,37.43
21.565833,37.540417
21.449167,37.609528
21.456611,37.617917
21.445,37.610417
21.357472,37.662917
21.321667,37.659583
21.307528,37.634556
21.30125,37.680806
21.318722,37.709139
21.28,37.78125
21.104528,37.850833
21.127472,37.939583
21.190833,37.932861
21.275833,37.99875
21.293333,37.992056
21.320389,38.014944
21.304167,38.024556
21.282917,38.009972
21.364556,38.120833
21.368722,38.217472
21.406639,38.17625
21.384167,38.21875
21.407472,38.194556
21.450833,38.202889
21.529167,38.157056
21.599972,38.144528
21.669972,38.168694
21.778306,38.314583
21.824111,38.317889
21.845861,38.340389
21.874972,38.327056
21.955778,38.327861
22.016667,38.309583
22.027472,38.283722
22.074972,38.254583
22.108306,38.265417
22.145806,38.217917
22.213333,38.182083
22.334167,38.177917
22.352444,38.150417
22.389944,38.137056
22.498306,38.135417
22.544944,38.107056
22.639944,38.080417
22.726639,38.037861
22.804972,37.964583
22.895833,37.93375
22.950833,37.945389
22.97625,37.977472
